model,bandwidth_mbps,cpu_load_target,strategy,repeats,actual_warmup_runs,split_nodes,edge_node_count,cloud_node_count,estimated_total_ms,actual_total_mean_ms,actual_total_std_ms,edge_actual_mean_ms,edge_actual_std_ms,transmission_actual_mean_ms,transmission_actual_std_ms,cloud_actual_mean_ms,cloud_actual_std_ms,payload_bytes_mean,payload_bytes_std,cpu_load_avg,cpu_load_min,cpu_load_max
mobilenet_v2,100.0000,30.0000,pure_cloud,10,2,__input__,1,153,67.0986,78.7736,6.1838,0.2226,0.0328,65.3796,6.2416,13.1713,2.5431,602112.0000,0.0000,32.4417,10.4000,98.9000
mobilenet_v2,200.0000,30.0000,dsl,10,2,features_7_conv_3,60,94,28.9383,37.2925,7.7728,15.4923,1.2759,12.3568,6.5432,9.4434,0.6264,50176.0000,0.0000,32.4834,10.4000,98.9000
mobilenet_v2,200.0000,30.0000,pure_edge,10,2,,154,0,29.9620,27.6046,1.0314,27.6046,1.0314,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.5774,10.4000,98.9000
mobilenet_v2,200.0000,30.0000,pure_cloud,10,2,__input__,1,153,43.0141,44.7883,3.3691,0.1932,0.0261,31.9513,2.5414,12.6439,1.7950,602112.0000,0.0000,32.5860,10.4000,98.9000
mobilenet_v2,500.0000,30.0000,dsl,10,2,features_7_conv_3,60,94,27.7341,32.5924,6.2979,14.7968,1.8272,8.0564,4.8678,9.7392,1.5022,50176.0000,0.0000,32.6400,10.4000,98.9000
mobilenet_v2,500.0000,30.0000,pure_edge,10,2,,154,0,29.9620,27.1780,0.8584,27.1780,0.8584,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.6400,10.4000,98.9000
mobilenet_v2,500.0000,30.0000,pure_cloud,10,2,__input__,1,153,28.5634,34.3643,7.7874,0.2058,0.0302,20.0824,8.5448,14.0761,2.3815,602112.0000,0.0000,32.7232,10.4000,98.9000
mobilenet_v2,1000.0000,30.0000,dsl,10,2,__input__,1,153,23.7465,31.5569,5.3489,0.2321,0.0620,18.3681,5.5250,12.9568,2.1946,602112.0000,0.0000,32.7037,10.4000,98.9000
mobilenet_v2,1000.0000,30.0000,pure_edge,10,2,,154,0,29.9620,31.7274,3.0907,31.7274,3.0907,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.7568,10.4000,98.9000
mobilenet_v2,1000.0000,30.0000,pure_cloud,10,2,__input__,1,153,23.7465,30.5808,4.4472,0.2238,0.0512,16.3980,5.0790,13.9590,2.4203,602112.0000,0.0000,32.7568,10.4000,98.9000
