model,bandwidth_mbps,cpu_load_target,strategy,repeats,actual_warmup_runs,split_nodes,edge_node_count,cloud_node_count,estimated_total_ms,actual_total_mean_ms,actual_total_std_ms,edge_actual_mean_ms,edge_actual_std_ms,transmission_actual_mean_ms,transmission_actual_std_ms,cloud_actual_mean_ms,cloud_actual_std_ms,payload_bytes_mean,payload_bytes_std,cpu_load_avg,cpu_load_min,cpu_load_max
resnet50,50.0000,60.0000,pure_cloud,10,2,__input__,1,18,107.7002,124.7116,7.2802,0.0964,0.0303,111.5971,6.6567,13.0181,2.3411,602112.0000,0.0000,60.9888,19.3000,100.0000
resnet50,100.0000,60.0000,dsl,10,2,__input__,1,18,59.5312,78.1378,6.2603,0.1093,0.0284,64.0309,6.1560,13.9977,2.0437,602112.0000,0.0000,60.9337,19.3000,100.0000
resnet50,100.0000,60.0000,pure_edge,10,2,,19,0,106.1839,65.9283,7.9231,65.9283,7.9231,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61.0539,19.3000,100.0000
resnet50,100.0000,60.0000,pure_cloud,10,2,__input__,1,18,59.5312,77.8967,4.5055,0.0955,0.0134,63.8645,3.8348,13.9368,1.1743,602112.0000,0.0000,61.0531,19.3000,100.0000
resnet50,200.0000,60.0000,dsl,10,2,__input__,1,18,35.4467,48.7142,5.7833,0.1165,0.0441,34.5095,5.4721,14.0883,1.1394,602112.0000,0.0000,60.9951,19.3000,100.0000
resnet50,200.0000,60.0000,pure_edge,10,2,,19,0,106.1839,71.9168,14.9303,71.9168,14.9303,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61.0851,19.3000,100.0000
resnet50,200.0000,60.0000,pure_cloud,10,2,__input__,1,18,35.4467,53.8538,8.0916,0.1243,0.0516,38.5553,8.2221,15.1741,2.1841,602112.0000,0.0000,61.1251,19.3000,100.0000
resnet50,500.0000,60.0000,dsl,10,2,__input__,1,18,20.9961,35.5120,8.1279,0.1095,0.0091,21.3293,8.1084,14.0731,1.9014,602112.0000,0.0000,61.1260,19.3000,100.0000
resnet50,500.0000,60.0000,pure_edge,10,2,,19,0,106.1839,61.6759,6.3097,61.6759,6.3097,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61.1765,19.3000,100.0000
resnet50,500.0000,60.0000,pure_cloud,10,2,__input__,1,18,20.9961,35.0566,8.6425,0.1280,0.0736,21.3508,7.7958,13.5778,2.2624,602112.0000,0.0000,61.2476,19.3000,100.0000
resnet50,1000.0000,60.0000,dsl,10,2,__input__,1,18,16.1792,31.6330,4.1691,0.0921,0.0075,19.5926,4.2936,11.9483,1.6382,602112.0000,0.0000,61.2043,19.3000,100.0000
resnet50,1000.0000,60.0000,pure_edge,10,2,,19,0,106.1839,67.6107,9.2988,67.6107,9.2988,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61.2572,19.3000,100.0000
resnet50,1000.0000,60.0000,pure_cloud,10,2,__input__,1,18,16.1792,31.0641,6.3495,0.0930,0.0135,18.4489,5.1146,12.5222,1.8573,602112.0000,0.0000,61.2572,19.3000,100.0000
